trans_id,account_id,trans_date,trans_type,operation,amount,balance,k_symbol,bank,account
1140477,3898,1915,2,4,14.6,52135.4,6,0,0
3605045,2266,1915,0,0,198.4,48193.8,7,0,0
1200960,4109,1020,0,3,1600.0,31729.6,1,0,0
3675354,6273,607,0,0,193.2,36031.0,7,0,0
990840,3378,1619,2,1,6387.0,47685.8,5,6,76775717
577529,1966,607,2,4,14.6,53133.7,6,0,0
580759,1976,1849,2,5,2900.0,22367.6,1,0,0
70953,237,1501,0,2,2910.0,12856.4,1,10,85607498
274068,939,1002,2,4,14.6,19429.0,6,0,0
846189,2881,1113,2,4,1680.0,29620.7,1,0,0
1160244,3972,1856,2,4,14.6,50857.5,6,0,0
2611717,8628,1919,0,3,17396.0,108221.2,1,0,0
684896,2337,2068,2,4,14.6,35493.2,6,0,0
814685,2773,2173,2,4,1440.0,67290.4,1,0,0
1106513,3779,1976,2,4,14.6,43403.5,6,0,0
545209,1854,2170,2,1,3948.0,67332.6,5,5,67782974
185298,628,1413,2,1,3028.0,34340.1,5,13,24106633
311516,1062,364,2,4,14.6,45561.3,6,0,0
722135,2472,1260,2,1,4109.0,36818.3,5,2,61095434
287689,986,1950,0,2,6057.0,35276.1,2,13,69630348
685485,2341,1258,2,1,464.0,14572.0,0,10,97825383
50007,167,1961,2,4,4700.0,31550.1,1,0,0
430810,1463,1983,2,4,900.0,28129.3,1,0,0
616823,2103,1651,0,3,5540.0,25314.8,1,0,0
696610,2382,1830,0,2,6115.0,21109.8,2,3,88811969
1056067,3612,889,0,3,21388.0,47876.0,1,0,0
3456441,9199,2190,0,0,68.9,8331.6,7,0,0
948938,3234,1798,2,4,3200.0,15453.8,1,0,0
732764,2504,1714,2,1,5513.0,18639.9,5,6,41117668
653168,2233,1376,2,1,2028.0,19095.8,5,12,11697030
1149722,3933,1469,1,4,5399.0,39351.0,1,0,0
2847286,9422,1519,2,4,14.6,47382.5,6,0,0
555744,1891,2159,2,4,14.6,88012.8,6,0,0
746288,2546,1497,2,1,480.0,22166.4,3,7,91997658
801978,2734,1626,2,4,4560.0,22638.8,1,0,0
3556584,800,2190,0,0,138.8,32143.2,7,0,0
3643166,3413,2159,0,0,404.9,95013.0,7,0,0
3462556,2540,1215,0,0,105.9,25794.9,7,0,0
3604926,2259,1519,0,0,55.7,14071.5,7,0,0
126135,425,1680,2,1,2390.0,25055.3,5,10,21181220
3623581,2818,972,0,0,151.9,37155.9,7,0,0
184192,625,1933,2,4,43200.0,101841.1,1,0,0
1107392,3782,1746,2,1,10608.0,54248.4,3,1,96572547
1156603,3957,1377,0,2,30463.0,84600.8,1,12,15323031
473008,1610,701,2,4,800.0,58773.4,1,0,0
3514496,9731,1703,0,0,90.9,17259.3,7,0,0
817430,2784,2006,2,4,14.6,26854.5,6,0,0
863774,2940,2094,0,3,16400.0,39363.1,1,0,0
1281589,4383,1703,2,4,14.6,37104.7,6,0,0
3558527,860,1550,0,0,115.2,28214.3,7,0,0
180427,611,1715,0,2,3427.0,7854.0,1,8,46629828
813922,2771,1742,2,1,7288.0,38062.6,5,5,67174297
302122,1029,2153,0,3,36023.0,85787.6,1,0,0
122004,409,1347,2,4,4800.0,34617.0,1,0,0
989768,3374,917,0,3,36982.0,29533.6,1,0,0
258076,884,1519,2,4,14.6,23594.6,6,0,0
138473,463,1246,2,4,14.6,66147.4,6,0,0
2042663,6924,2049,2,1,4059.5,43285.4,8,11,50566107
3594829,1944,1002,0,0,163.9,43710.4,7,0,0
310742,1058,2067,2,4,19300.0,46365.9,1,0,0
572796,1949,1013,2,1,6888.0,34445.7,5,4,62772446
690821,2360,1934,2,4,8300.0,44898.1,1,0,0
209483,711,1619,2,1,3243.0,35827.1,5,1,97111349
777791,2651,1689,1,4,22401.0,46303.1,1,0,0
3618196,2650,1825,0,0,199.6,51415.5,7,0,0
253745,869,1681,0,3,800.0,15100.0,1,0,0
2766834,9153,1829,2,4,3360.0,28873.9,1,0,0
149568,498,1808,2,4,48800.0,70522.6,1,0,0
8633,31,1352,0,3,8806.0,31605.6,1,0,0
476126,1623,1129,0,3,800.0,800.0,1,0,0
2382706,7857,1434,2,1,8157.0,45973.0,5,3,68440097
909898,3099,788,2,4,14.6,18560.1,6,0,0
3459105,11382,2159,0,0,240.4,66550.3,7,0,0
231462,787,1097,2,4,6800.0,14381.1,1,0,0
478859,1632,1817,0,3,9105.0,97124.3,1,0,0
823393,2804,1567,2,4,3600.0,35558.4,1,0,0
3550936,623,484,0,0,74.7,18405.6,7,0,0
3044191,10093,1686,2,4,19400.0,26360.7,1,0,0
2571541,8489,738,2,1,3835.0,48654.5,5,10,2885187
160801,539,515,2,4,100.0,31136.8,6,0,0
1083161,3699,1109,2,4,11360.0,35475.3,1,0,0
3579587,1493,1368,0,0,68.7,17995.1,7,0,0
866308,2949,2185,2,4,2560.0,15471.4,1,0,0
3625549,2876,395,0,0,159.4,24961.9,7,0,0
501592,1709,1990,0,3,27104.0,77793.0,1,0,0
3463821,2835,1125,0,0,74.9,24180.2,7,0,0
311285,1061,2068,2,4,14.6,12131.4,6,0,0
742675,2535,2021,2,4,11100.0,23174.2,1,0,0
100091,342,1703,2,4,14.6,17910.9,6,0,0
1014065,3466,1976,2,4,19600.0,67595.4,1,0,0
3465166,3278,1611,0,0,248.1,46381.2,7,0,0
612728,2087,307,2,4,22500.0,43978.8,1,0,0
561538,1910,1983,2,1,2336.0,74623.2,0,3,95706283
961764,3277,1717,0,3,16654.0,55011.4,1,0,0
