trans_id,account_id,trans_date,trans_type,operation,amount,balance,k_symbol,bank,account
1778029,6030,1765,2,4,17500.0,74988.0,1,0,0
195416,662,1983,2,1,3330.0,29937.7,5,11,32952279
913298,3113,922,2,1,8001.0,39961.5,5,2,35737115
1643789,5572,1983,0,3,16100.0,30788.9,1,0,0
633935,2165,1751,2,4,11400.0,24509.8,1,0,0
572090,1947,1832,0,2,6860.0,47485.6,2,6,73615145
1951106,6609,2078,0,3,8179.0,35672.3,1,0,0
767600,2621,1505,0,3,4229.0,14550.6,1,0,0
2242809,7401,800,2,1,3372.7,38666.0,8,10,89597016
150686,503,2044,2,1,7175.0,36706.7,5,9,34156501
910837,3104,2083,2,4,990.0,25285.6,1,0,0
3536673,188,2006,0,0,282.2,63091.7,7,0,0
188258,637,2011,2,1,1934.0,9136.8,5,1,34624809
1104965,3775,843,2,4,3920.0,17641.7,1,0,0
323996,1106,570,0,3,12400.0,14710.2,1,0,0
483641,1646,2141,0,3,22783.0,71167.5,1,0,0
1253723,4287,1401,2,4,840.0,30412.3,1,0,0
1044610,3571,744,0,3,2800.0,25663.5,1,0,0
278706,954,1529,2,1,1242.0,28444.1,0,1,55569523
1899983,6434,1337,2,4,13000.0,36315.3,1,0,0
432502,1469,2037,2,4,14.6,35035.7,6,0,0
176515,596,1284,0,3,16909.0,61023.8,1,0,0
79761,267,1832,0,2,4847.0,22971.8,2,3,11064833
3597067,2009,1733,0,0,251.9,52050.3,7,0,0
3643612,3430,1703,0,0,88.2,21308.1,7,0,0
696441,2381,2165,0,3,26367.0,71894.3,1,0,0
742657,2535,2159,2,4,14.6,24503.0,6,0,0
3136766,10411,1056,0,3,700.0,700.0,1,0,0
3609498,2405,2006,0,0,173.0,38711.1,7,0,0
1292195,4415,1478,2,4,840.0,48300.0,1,0,0
3479967,9353,1580,0,0,149.4,59439.1,7,0,0
85236,286,1925,0,3,23397.0,45615.5,1,0,0
3047556,10105,1301,0,3,10643.0,64541.7,1,0,0
272807,933,1474,2,4,880.0,26766.3,1,0,0
3549141,559,1338,0,0,78.4,19135.1,7,0,0
419525,1422,576,2,4,14.6,18497.7,6,0,0
371755,1266,2147,2,4,9900.0,48962.5,1,0,0
