trans_id,account_id,trans_date,trans_type,operation,amount,balance,k_symbol,bank,account
609824,2076,2173,2,1,382.0,17130.4,5,8,71402716
3610554,2433,1399,0,0,125.5,30904.3,7,0,0
1104297,3772,1519,2,4,14.6,33760.2,6,0,0
323577,1105,908,2,4,5900.0,23780.1,1,0,0
1342131,4585,1733,2,4,14.6,42971.8,6,0,0
965963,3291,1976,2,4,14.6,22024.6,6,0,0
647286,2213,582,2,1,6273.0,23881.5,5,5,46736180
151880,507,1863,0,3,6900.0,7217.8,1,0,0
146586,491,1530,0,3,20021.0,56689.7,1,0,0
706316,2419,1324,2,4,5100.0,44938.9,1,0,0
286491,982,521,2,4,2160.0,31220.1,1,0,0
3623930,2827,1580,0,0,206.8,52500.4,7,0,0
1059948,3623,2164,0,2,3893.0,18941.6,1,3,61949133
3578980,1477,303,0,0,81.5,19862.8,7,0,0
848799,2891,1951,2,1,4614.0,29570.8,5,9,1952332
308125,1050,1134,0,3,5700.0,24150.5,1,0,0
882268,3006,1246,2,4,14.6,21276.7,6,0,0
459410,1562,1307,2,4,14.6,16904.9,6,0,0
528370,1802,1338,2,4,14.6,33471.0,6,0,0
572968,1949,771,2,1,487.0,23145.5,0,5,89576708
325239,1111,1287,0,3,20700.0,67934.8,1,0,0
3561336,931,1611,0,0,95.1,21406.8,7,0,0
1982209,6715,428,0,2,13789.0,49319.8,1,8,84352767
1136263,3882,219,0,3,8800.0,12556.6,1,0,0
532733,1815,251,0,3,17904.0,58778.6,1,0,0
3564594,1034,1672,0,0,168.0,41683.4,7,0,0
551417,1877,2146,2,4,500.0,46282.7,1,0,0
2356787,7774,334,0,3,11350.0,67036.1,1,0,0
863210,2938,2135,2,4,12700.0,54289.6,1,0,0
1003793,3425,1447,2,4,720.0,34339.2,1,0,0
1125968,3846,1834,0,2,3024.0,14636.5,1,7,85856443
1057091,3614,1780,0,3,42370.0,62127.7,1,0,0
361871,1230,1814,1,4,7491.0,46406.7,1,0,0
739838,2527,345,0,3,9397.0,81668.5,1,0,0
1089432,3723,1655,0,3,1300.0,30374.9,1,0,0
861023,2932,1323,2,4,13100.0,47760.8,1,0,0
3617710,2639,1185,0,0,183.1,46498.0,7,0,0
104093,355,1438,2,1,5012.0,39271.8,5,12,5620038
541790,1843,1106,2,1,2938.7,25321.2,8,9,70984434
742432,2534,1833,2,4,200.0,19345.4,1,0,0
79039,264,1374,0,3,400.0,35338.8,1,0,0
161792,541,1239,2,5,1200.0,42239.8,1,0,0
3443094,1627,1641,0,0,159.7,24025.0,7,0,0
385422,1309,1114,2,4,3000.0,50331.1,1,0,0
340799,1157,1106,2,4,2900.0,21441.7,1,0,0
1018671,3480,2051,0,3,13622.0,60253.3,1,0,0
2464787,8129,854,2,1,6184.0,30075.4,5,1,67742585
3610499,2432,1764,0,0,140.7,34793.9,7,0,0
586184,1995,1805,2,1,2944.0,25196.0,5,9,94729518
555973,1892,587,2,1,2398.0,20512.6,5,8,48820698
1117599,3818,849,2,4,1560.0,38276.8,1,0,0
1535156,5228,1346,2,4,6300.0,44138.9,1,0,0
1092329,3735,1159,0,3,38890.0,100617.3,1,0,0
835204,2842,920,0,2,3225.0,23560.9,1,2,89962917
3021571,10019,1472,2,1,5415.0,19021.9,8,9,87297737
386988,1315,2143,2,1,299.0,18606.5,0,9,62296283
754408,2574,752,2,4,1300.0,24641.4,1,0,0
191735,651,711,2,1,2652.0,56619.7,5,9,14427155
2106574,7133,1957,0,3,4347.0,19018.3,1,0,0
3645584,3492,2037,0,0,211.6,39283.4,7,0,0
3583848,1628,30,0,0,13.4,4989.4,7,0,0
900407,3068,1111,2,4,1360.0,21167.4,1,0,0
247403,851,1317,0,3,24640.0,92883.8,1,0,0
3632037,3071,2006,0,0,241.0,52062.4,7,0,0
1596112,5422,1581,1,4,18427.0,22056.6,1,0,0
3513116,9633,1672,0,0,325.9,81989.9,7,0,0
1027925,3510,1760,2,4,1500.0,47645.4,1,0,0
729723,2494,1495,2,4,8700.0,31640.3,1,0,0
3548254,531,1429,0,0,79.7,19320.2,7,0,0
97081,332,1622,0,2,3727.0,31849.5,1,2,45003229
862017,2935,1631,2,4,4290.0,14428.6,1,0,0
764557,2611,2182,2,5,2500.0,67457.0,1,0,0
224864,765,2079,2,4,200.0,56710.8,1,0,0
3580903,1534,2129,0,0,170.9,43225.6,7,0,0
935710,3194,1925,2,4,4560.0,14831.8,1,0,0
571152,1943,1839,2,5,1100.0,34404.0,1,0,0
257598,883,1797,2,4,3480.0,28876.5,1,0,0
509032,1742,1374,0,3,23418.0,67774.3,1,0,0
41988,139,2159,2,4,30.0,18537.8,6,0,0
224352,764,277,0,2,6238.0,33068.1,2,11,30560720
1124630,3840,1399,2,4,14.6,38558.9,6,0,0
3462350,2454,2129,0,0,119.2,30475.6,7,0,0
1035180,3539,1063,2,4,14.6,28796.2,6,0,0
1215185,4159,1794,2,4,14.6,58775.3,6,0,0
343878,1166,1686,2,1,4397.0,42348.9,5,3,69850820
943485,3218,2151,2,4,390.0,20979.6,1,0,0
330576,1126,1776,2,4,400.0,55426.5,1,0,0
478576,1630,1678,2,4,3700.0,14607.3,1,0,0
